Município1;Código Município IBGE;UF1;Data;Média de Índice De Isolamento
ARAÇATUBA;3502804;SP;domingo, 17/05;46%
ARAÇATUBA;3502804;SP;sábado, 16/05;41%
ARAÇATUBA;3502804;SP;sexta-feira, 15/05;39%
ARAÇATUBA;3502804;SP;quinta-feira, 14/05;39%
ARAÇATUBA;3502804;SP;quarta-feira, 13/05;38%
ARAÇATUBA;3502804;SP;terça-feira, 12/05;39%
ARAÇATUBA;3502804;SP;segunda-feira, 11/05;39%
ARAÇATUBA;3502804;SP;domingo, 10/05;45%
ARAÇATUBA;3502804;SP;sábado, 09/05;42%
ARAÇATUBA;3502804;SP;sexta-feira, 08/05;37%
ARAÇATUBA;3502804;SP;quinta-feira, 07/05;39%
ARAÇATUBA;3502804;SP;quarta-feira, 06/05;38%
ARAÇATUBA;3502804;SP;terça-feira, 05/05;39%
ARAÇATUBA;3502804;SP;segunda-feira, 04/05;40%
ARAÇATUBA;3502804;SP;domingo, 03/05;51%
ARAÇATUBA;3502804;SP;sábado, 02/05;44%
ARAÇATUBA;3502804;SP;sexta-feira, 01/05;51%
